ticker,sector,pe_trailing,pe_forward,ps_ratio,pb_ratio,ev_ebitda,peg_ratio,fcf_yield,revenue_growth,earnings_growth,operating_margin,profit_margin,gross_margin,roe,roa,debt_to_equity,current_ratio,dividend_yield
LOW,Consumer Cyclical,19.4962,16.906,1.5019,-13.0695,13.959,2.4661,0.0385,0.109,-0.11,0.0856,0.0771,0.3348,,0.1312,,1.077,2.08
LRCX,Technology,44.8542,31.6421,13.3444,26.938,36.915,1.5708,0.0176,0.221,0.37,0.3387,0.3022,0.498,0.6556,0.2105,0.442,2.256,0.48
LULU,Consumer Cyclical,11.7347,11.7378,1.6454,3.6561,6.647,0.742,0.0451,0.008,-0.185,0.2231,0.1422,0.566,0.3401,0.1721,0.3624,2.258,
LUV,Industrials,47.5949,8.064,0.6583,2.4289,12.339,0.1995,-0.037,0.074,0.508,0.0509,0.0157,0.2204,0.0481,0.0095,0.7494,0.517,1.91
LVS,Consumer Cyclical,23.1234,14.4488,2.8226,23.0645,10.82,0.9727,0.0537,0.26,0.293,0.2387,0.125,0.7998,0.7326,0.09,8.2906,1.144,1.93
LYB,Basic Materials,,17.2667,0.8505,2.543,16.999,1.6363,0.0174,-0.092,,-0.0092,-0.0247,0.0896,-0.0695,0.0169,1.4416,1.773,6.03
LYV,Communication Services,,68.6619,1.4511,134.4991,20.911,7.8152,0.0303,0.111,,-0.0082,0.0197,0.2555,0.367,0.0389,5.7203,0.995,
MA,Financial Services,29.8512,21.7727,13.4294,57.0187,21.856,1.5769,0.0369,0.176,0.242,0.5773,0.4565,1.0,2.0992,0.2372,2.5604,1.035,0.71
MAA,Real Estate,33.037,32.1028,6.7848,2.5774,16.198,,0.0619,0.01,-0.658,0.2838,0.2023,0.5869,0.0764,0.0326,0.933,0.071,4.9
MAR,Consumer Cyclical,34.83,25.6075,12.5976,-23.4017,22.793,2.0114,0.019,0.063,0.016,0.4397,0.3725,0.7907,,0.0963,,0.427,0.81
MAS,Industrials,15.3161,12.7802,1.5918,-65.2539,10.514,1.3218,0.0551,-0.019,-0.059,0.1478,0.1071,0.3568,71.5,0.1549,42.3026,1.805,2.17
MCD,Consumer Cyclical,25.7021,21.3774,8.1524,-121.9293,18.655,2.7554,0.0287,0.097,0.082,0.4507,0.3185,0.5741,,0.1351,,0.955,2.42
MCHP,Technology,,24.656,8.1188,5.4112,41.486,0.814,0.0281,0.156,,0.132,-0.0157,0.5541,-0.0109,0.0116,0.8238,2.162,2.77
MCK,Healthcare,25.513,19.9911,0.2743,-83.7942,19.448,1.075,0.0839,0.114,0.38,0.0154,0.0109,0.0345,,0.0433,,0.876,0.37
MCO,Financial Services,32.2687,23.553,10.1661,19.3041,22.288,1.9266,0.0262,0.13,0.576,0.4214,0.3186,0.7444,0.6208,0.1383,1.7681,1.74,0.93
MDLZ,Consumer Defensive,30.4444,17.0792,1.9266,2.854,18.768,1.6996,0.0483,0.093,-0.604,0.0953,0.0636,0.2838,0.0933,0.0324,0.8485,0.592,3.48
MDT,Healthcare,24.1983,14.2902,3.1345,2.2696,13.89,1.5108,0.0366,0.087,-0.118,0.2001,0.13,0.6516,0.0939,0.0457,0.5706,2.535,3.28
MET,Financial Services,15.0149,6.4654,0.6045,1.632,14.485,0.3747,-0.2734,0.276,-0.342,0.0467,0.0438,0.2336,0.1202,0.0046,2.2597,1.895,3.21
META,Communication Services,24.4451,15.9724,7.2307,6.6901,14.296,0.9391,0.0161,0.238,0.107,0.4131,0.3008,0.82,0.3024,0.1621,0.3916,2.599,0.37
MGM,Consumer Cyclical,48.2632,15.6544,0.572,3.8992,16.781,0.9947,0.0476,0.06,1.157,0.0706,0.0117,0.4442,0.1489,0.02,9.6309,1.234,
MKC,Consumer Defensive,8.0082,14.6,1.8447,1.8806,13.591,1.876,0.0284,0.167,5.283,0.1434,0.2312,0.3818,0.2535,0.0488,0.6516,0.758,3.93
MLM,Basic Materials,36.5024,25.241,5.8564,3.5901,19.895,3.0747,-0.0199,0.086,-0.041,0.2309,0.1849,0.308,0.1016,0.0499,0.5987,3.568,0.56
MMM,Industrials,24.0783,15.3946,3.05,16.293,13.52,1.4035,0.0166,0.02,-0.199,0.1241,0.1303,0.3992,0.755,0.0758,2.7664,1.708,2.16
MNST,Consumer Defensive,37.3041,28.3776,8.5356,8.5757,25.615,2.0883,0.0214,0.176,0.666,0.3132,0.2297,0.5585,0.2682,0.1796,0.8,3.703,
MO,Consumer Defensive,15.9612,11.3208,5.4814,-31.434,8.407,1.6776,0.0836,-0.005,-0.629,1.167,0.345,0.8734,,0.2732,,0.648,6.45
MOS,Basic Materials,15.3941,10.6368,0.6894,0.6873,5.961,1.5485,-0.0521,0.056,,0.0279,0.0449,0.1578,0.0482,0.0284,0.4315,1.315,3.36
MPC,Energy,18.2852,13.153,0.535,4.1186,11.478,0.9337,0.0361,-0.012,3.507,0.0629,0.0304,0.1031,0.2419,0.0478,1.4265,1.259,1.58
MPWR,Technology,86.9743,43.2767,19.6878,15.427,68.752,1.8421,0.0074,0.208,-0.862,0.2662,0.2227,0.5518,0.1917,0.1181,0.683,5.912,0.72
MRK,Healthcare,16.603,12.406,4.5967,5.6859,11.505,3.6815,0.0398,0.05,-0.193,0.3277,0.2808,0.7721,0.3688,0.1204,0.9596,1.536,2.81
